
=========================================
FILE: DualSense Controller pos.png
Resolution: 1467 x 816
  Cluster 1: RawCenter=(146.4, 416.5), ScaledCenter=(41.9, 132.7), Size=91, Color=[233, 80, 87]
  Cluster 2: RawCenter=(158.2, 417.6), ScaledCenter=(45.3, 133.1), Size=58, Color=[233, 83, 89]
  Cluster 3: RawCenter=(185.0, 436.0), ScaledCenter=(53.0, 138.9), Size=277, Color=[235, 44, 52]
  Cluster 4: RawCenter=(224.2, 57.6), ScaledCenter=(64.2, 18.4), Size=58, Color=[178, 27, 35]
  Cluster 5: RawCenter=(227.4, 354.5), ScaledCenter=(65.1, 112.9), Size=91, Color=[233, 81, 87]
  Cluster 6: RawCenter=(233.4, 524.5), ScaledCenter=(66.8, 167.1), Size=91, Color=[233, 80, 87]
  Cluster 7: RawCenter=(237.1, 57.1), ScaledCenter=(67.9, 18.2), Size=60, Color=[195, 27, 35]
  Cluster 8: RawCenter=(241.6, 354.4), ScaledCenter=(69.2, 112.9), Size=82, Color=[234, 77, 83]
  Cluster 9: RawCenter=(247.4, 524.5), ScaledCenter=(70.8, 167.1), Size=91, Color=[233, 81, 87]
  Cluster 10: RawCenter=(248.0, 130.0), ScaledCenter=(71.0, 41.4), Size=277, Color=[219, 27, 35]
  Cluster 11: RawCenter=(260.0, 494.0), ScaledCenter=(74.4, 157.4), Size=277, Color=[235, 44, 52]
  Cluster 12: RawCenter=(262.0, 374.0), ScaledCenter=(75.0, 119.2), Size=277, Color=[235, 44, 52]
  Cluster 13: RawCenter=(268.0, 40.0), ScaledCenter=(76.7, 12.7), Size=277, Color=[219, 27, 35]
  Cluster 14: RawCenter=(276.2, 134.6), ScaledCenter=(79.1, 42.9), Size=58, Color=[178, 27, 35]
  Cluster 15: RawCenter=(288.8, 134.0), ScaledCenter=(82.7, 42.7), Size=52, Color=[170, 27, 35]
  Cluster 16: RawCenter=(293.8, 259.6), ScaledCenter=(84.1, 82.7), Size=63, Color=[236, 86, 92]
  Cluster 17: RawCenter=(306.6, 259.5), ScaledCenter=(87.8, 82.7), Size=87, Color=[236, 66, 72]
  Cluster 18: RawCenter=(327.7, 259.9), ScaledCenter=(93.8, 82.8), Size=162, Color=[236, 73, 80]
